id;first_name;last_name;email;phone;address_line_1;address_line_2;city;country;loyalty_points;last_visit
1;Macie;Upton;"_V2q5@;H[-.Cw*K";(705) 520-1926 x2918;suspiciously unknown um;appreciate incidentally;Port Vidastead;Holy See (Vatican City State);3024;2025-01-18
2;Roy;Abernathy;"cZe@X.I<S";470.803.9857;treble above;yum clean;New Lia;Slovakia;31361;2025-01-17
3;Brielle;Harber;"if`@G57.I0";(794) 994-2363;phew markup;scotch whenever joint;East Ernieborough;Timor-Leste;17535;2025-01-17
4;Alisa;Wiza;"HsgLC@\gB+).;=d";1-250-225-6113 x5000;aw instructor;often;Gorczanyside;Indonesia;3438;2025-01-17
5;Jairo;Wunsch;"1'o'a@72K+q.=#";656.231.6553;amongst pfft bookcase;nun;Mikelboro;Cuba;17591;2025-01-18
6;Summer;Wiza-Kassulke;"K.@a>oC.sM^*_,";(688) 647-0383;geez jubilantly;ah ah analogy;New Enoch;Mayotte;9281;2025-01-18
7;General;Hickle;"{i`@X.ip";(972) 960-4649 x8522;oh;insignificant;South Candidachester;Bonaire, Sint Eustatius and Saba;16839;2025-01-18
8;Kayla;Luettgen;",^)P@m.V";688.657.5158 x08243;aboard which;jump;Ansleyburgh;Lithuania;26749;2025-01-18
9;Rosanna;Klein;"RX5@e?!*e\./tp";(397) 805-9533 x13888;woot;absent plugin formal;Wizashire;Finland;10576;2025-01-18
10;Aurelio;Okuneva;"]@3B=M.%Uv-";758.991.2492 x6302;indeed bah;spook until insidious;New Brian;South Georgia and the South Sandwich Islands;4607;2025-01-18
