id;reservation_date;party_size;status;customer_name;customer_email;customer_phone;special_requests
1;2025-01-17T14:10:50;529;PENDING;far skyscraper;"d-@~.}wrDz";pfft gadzooks demonstrate;psst
2;2025-01-18T06:09:15;15350;PENDING;yet unless;"4YM/u6@v.v";phew and;splurge
3;2025-01-17T14:27:37;5259;CONFIRMED;upward whopping;"13DM@CyX.S=)!DI";along gum profuse;whoa ick notwithstanding
4;2025-01-18T08:00:22;18922;CANCELLED;including;"ih%4@9VU.v";and produce valiantly;steel likely
5;2025-01-17T20:12:34;16312;COMPLETED;enthusiastically shinny outside;"A@:.r&";following;daughter edge underpants
6;2025-01-18T01:23:28;25771;PENDING;um;"61/9&@8.,Ca";kowtow igloo airman;disgorge kosher
7;2025-01-17T16:00:18;9975;COMPLETED;dulcimer complication shy;"6s@i^.4KvX";cool squiggly yum;round
8;2025-01-18T13:03:31;29065;COMPLETED;bowed despite now;"r@0.(";since;gallivant
9;2025-01-17T19:42:40;30895;CONFIRMED;since;"h8D@5~.Z}T(e";pale tentacle yet;rural
10;2025-01-17T19:26:43;10251;COMPLETED;to;"!o@*7.2<1,";although;against supposing geez
